Title,Description,Link,Category,Publication Date,article_id
How AI is helping communities restore Madagascar’s ancient baobab forests,"Baobab forests are threatened by slash-and-burn agriculture – 4,000 hectares of baobab forest in Madagascar are destroyed every year",https://www.thehindu.com/sci-tech/science/how-ai-is-helping-communities-restore-madagascars-ancient-baobab-forests/article68174331.ece,Science,"Tue, 14 May 2024 17:21:40 +0530",89
1.7 crore connections disconnected through fraud detection steps: DoT,"The Department of Telecommunications says the government was also working with WhatsApp to deal with pesky calls, and has had lakhs of numbers blocked as a result",https://www.thehindu.com/news/national/17-crore-connections-disconnected-through-fraud-detection-steps-dot/article68187167.ece,Business,"Sat, 18 May 2024 05:16:00 +0530",90
D.K. Shivakumar announces ‘Congress family’ initiative to strengthen the party at booth level,A party workers’ meeting has been convened on June 1 to discuss this initiative,https://www.thehindu.com/news/national/karnataka/dk-shivakumar-announces-congress-family-initiative-to-strengthen-the-party-at-booth-level/article68221671.ece,India,"Mon, 27 May 2024 20:51:49 +0530",91
Three-day Vizag Junior Theatre Fest to be organised from November 25,"This is the second edition of the fest, which will see professional theatre troupes from different cities perform during the festival",https://www.thehindu.com/news/cities/Visakhapatnam/three-day-vizag-junior-theatre-fest-to-be-organised-from-november-25/article67493292.ece,Entertainment,"Fri, 03 Nov 2023 18:01:31 +0530",92
Raza Foundation’s ‘Art Matters’ explored the connect between music and memory,The speakers at ‘Art Matters’ emphasised on how creativity is about drawing from memories rather than documents,https://www.thehindu.com/entertainment/music/raza-foundations-art-matters-explored-the-connect-between-music-and-memory/article68124215.ece,Entertainment,"Wed, 08 May 2024 16:20:05 +0530",93
Ross Branch tops Stage 1 for Hero at Dakar Rally,The Hero squad also displayed remarkable camaraderie and commitment.,https://www.thehindu.com/sport/motorsport/ross-branch-tops-stage-1-for-hero-at-dakar-rally/article67716752.ece,Sport,"Mon, 08 Jan 2024 03:09:00 +0530",94
2024 Interim Budget | Biased in favour of rich: Chidambaram,"Not afraid of white paper on UPA’s economic record, says former FM P. Chidambaram; slams FM for no mention of unemployment, inflation, farmer suicides; says per capita income growth more important than GDP growth",https://www.thehindu.com/business/budget/nda-government-destroyed-indias-demographic-dividend-by-deliberately-neglecting-youth-congress/article67801573.ece,Business,"Thu, 01 Feb 2024 22:58:52 +0530",95
"FPIs withdraw ₹17,000 crore from equities in May on political uncertainty amid general election","This was way higher than a net withdrawal of ₹8,700 crore in the entire April on concerns over a tweak in India's tax treaty with Mauritius and a sustained rise in U.S. bond yields",https://www.thehindu.com/business/Economy/fpis-withdraw-17000-crore-from-equities-in-may-on-political-uncertainty-amid-general-election/article68167319.ece,Business,"Sun, 12 May 2024 12:14:56 +0530",97
"Iran's acting President addresses new Parliament after helicopter crash killing President, others",Iran will hold presidential elections on June 28 to replace Raisi,https://www.thehindu.com/news/international/irans-acting-president-addresses-new-parliament-after-helicopter-crash-killing-president-others/article68221184.ece,World,"Mon, 27 May 2024 16:33:49 +0530",98
Sai Sanjay wins on debut in GT Cars race weekend in England,Sai Sanjay was also awarded the 'Driver of the Day' in a grid of seasoned competitors.,https://www.thehindu.com/sport/motorsport/sai-sanjay-wins-on-debut-in-gt-cars-race-weekend-in-england/article67405580.ece,Sport,"Wed, 11 Oct 2023 01:47:00 +0530",99
